,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
127,Rúben Dias,32,1,0,4,0,2531,2722,14,6,8.3,0,24,16,31,2954,8,6,2087,2369,2020-2021
128,Eric Dier,28,0,0,3,0,1493,1802,14,2,22.2,8,23,18,37,2057,4,3,1249,1427,2020-2021
129,Lucas Digne,30,0,7,2,1,1231,1736,13,0,23.7,3,63,54,42,2026,28,18,905,1088,2020-2021
130,Issa Diop,18,2,0,3,0,480,585,3,2,9.6,0,20,18,32,735,5,3,365,433,2020-2021
131,Moussa Djenepo,27,1,0,5,0,290,407,14,2,20.2,0,52,63,24,647,52,27,350,392,2020-2021
132,Matt Doherty,17,0,2,4,1,657,841,3,1,16.7,0,29,33,20,1018,17,5,486,592,2020-2021
133,Gabriel Dos Santos,23,2,0,4,1,1332,1559,16,4,12.6,0,25,19,27,1759,6,5,1249,1329,2020-2021
134,Abdoulaye Doucouré,29,2,3,6,0,1141,1354,18,5,17.4,0,52,43,24,1598,33,21,857,1040,2020-2021
135,Martin Dúbravka,13,0,0,0,0,322,438,0,0,,0,0,0,0,467,0,0,232,165,2020-2021
136,Paul Dummett,15,1,0,2,0,423,575,3,1,9.2,0,16,21,12,717,4,3,317,416,2020-2021
137,Lewis Dunk,33,5,0,5,2,2000,2240,32,14,15.2,3,30,23,29,2511,8,6,1514,1743,2020-2021
138,Jimmy Dunne,3,1,0,1,0,105,153,7,1,11.5,0,3,2,3,194,2,1,85,96,2020-2021
139,Ederson,36,0,1,3,0,939,1122,0,0,,0,3,4,0,1174,0,0,755,669,2020-2021
140,Kyle Edwards,5,0,0,0,0,31,35,2,1,15.4,0,3,0,2,50,4,1,28,33,2020-2021
141,John Egan,31,0,1,7,1,923,1135,14,3,11.9,0,41,39,43,1435,0,0,732,789,2020-2021
142,Anthony Elanga,2,1,0,0,0,41,55,2,1,11.9,0,4,5,1,84,7,3,57,65,2020-2021
143,Ahmed Elmohamady,14,0,0,2,0,468,618,9,1,11.9,0,17,14,6,693,3,2,314,374,2020-2021
144,Mohamed Elneny,23,1,0,3,0,944,1019,9,2,21.5,0,14,28,11,1119,7,4,756,848,2020-2021
145,Jonny Evans,28,2,2,7,0,1592,1854,8,3,7.8,0,25,20,8,2065,9,8,1251,1394,2020-2021
146,Eberechi Eze,34,4,6,3,0,945,1188,37,13,21.7,4,27,35,19,1473,118,64,967,1042,2020-2021
147,Łukasz Fabiański,35,0,0,2,0,622,1015,0,0,,0,1,1,1,1077,0,0,560,356,2020-2021
148,Fabinho,30,0,0,6,0,1910,2117,10,1,23.1,0,58,54,28,2386,11,7,1469,1721,2020-2021
149,Bruno Fernandes,37,18,12,6,0,1733,2338,111,40,22.9,16,57,100,38,2710,45,23,1496,2063,2020-2021
150,Federico Fernández,24,0,0,4,0,715,894,4,2,14.0,0,29,21,41,1169,1,0,553,619,2020-2021
151,Fernandinho,21,0,2,6,0,889,1026,14,3,22.7,0,31,43,11,1143,13,10,703,867,2020-2021
152,Sam Field,3,0,0,0,0,15,25,0,0,,0,5,0,4,43,1,1,9,10,2020-2021
153,Roberto Firmino,36,9,7,2,0,1065,1333,83,32,14.3,0,33,32,42,1663,83,59,989,1279,2020-2021
154,John Fleck,31,0,2,4,0,971,1245,17,5,24.6,0,51,83,26,1476,54,30,768,933,2020-2021
155,Phil Foden,28,9,5,0,0,689,845,45,20,15.0,0,22,23,9,1065,67,38,673,833,2020-2021
156,Wesley Fofana,28,0,0,7,0,1501,1740,11,2,9.9,0,51,46,28,2036,21,15,1273,1344,2020-2021
157,Pablo Fornals,33,5,4,3,0,853,1118,50,15,16.3,0,44,73,43,1407,60,29,821,963,2020-2021
158,Fraser Forster,8,0,0,0,0,154,273,0,0,,0,1,2,0,302,0,0,123,116,2020-2021
159,Timothy Fosu-Mensah,1,0,0,1,0,64,74,1,0,30.9,0,2,1,0,84,2,2,45,65,2020-2021
160,Tyrese Francois,1,0,0,0,0,14,15,0,0,,0,0,0,0,18,1,0,13,14,2020-2021
