,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
489,Joël Veltman,28,1,1,3,0,1166,1537,14,4,16.1,0,67,57,24,1813,36,18,927,1038,2020-2021
490,Jannik Vestergaard,30,3,0,3,1,1476,1775,23,8,11.9,0,50,52,29,2077,10,7,1210,1395,2020-2021
491,Rúben Vinagre,2,0,0,0,0,86,101,0,0,,0,7,4,3,121,4,2,60,71,2020-2021
492,Carlos Vinícius,9,1,0,2,0,24,48,7,4,12.1,0,3,1,0,94,4,3,47,70,2020-2021
493,João Virgínia,1,0,0,0,0,8,16,0,0,,0,0,0,0,18,0,0,9,9,2020-2021
494,Vitinha,19,0,1,0,0,302,346,8,4,22.6,0,7,8,3,389,12,8,261,311,2020-2021
495,Jake Vokins,1,0,0,0,0,19,23,0,0,,0,0,1,0,23,0,0,11,13,2020-2021
496,Matěj Vydra,28,3,2,0,0,170,240,35,9,13.7,0,9,8,8,405,26,16,234,318,2020-2021
497,Theo Walcott,21,3,3,0,0,304,432,29,11,20.2,0,23,32,16,646,51,17,371,449,2020-2021
498,Theo Walcott,1,0,0,0,0,1,1,0,0,,0,0,0,0,2,0,0,2,2,2020-2021
499,Kyle Walker,24,1,1,1,0,1709,1941,10,3,29.2,0,29,24,19,2098,41,24,1337,1589,2020-2021
500,Kyle Walker-Peters,30,0,2,4,0,1321,1669,18,7,18.8,0,83,57,41,2020,65,46,1034,1132,2020-2021
501,Aaron Wan-Bissaka,34,2,4,3,0,1805,2147,7,4,15.2,0,88,45,65,2547,60,34,1294,1551,2020-2021
502,Joel Ward,26,0,1,5,0,793,1104,2,1,26.2,0,43,42,27,1379,16,12,484,560,2020-2021
503,James Ward-Prowse,38,8,7,5,0,2173,2712,39,20,26.8,20,75,70,36,3045,22,17,1401,1824,2020-2021
504,Ollie Watkins,37,14,5,4,1,592,843,95,43,13.7,0,29,33,21,1239,70,40,712,1011,2020-2021
505,Caleb Watts,3,0,0,1,0,8,13,0,0,,0,2,2,0,17,0,0,13,13,2020-2021
506,Adam Webster,29,1,0,4,0,1508,1866,25,7,13.8,0,29,25,29,2122,17,17,1309,1466,2020-2021
507,Danny Welbeck,24,6,1,0,0,209,262,34,15,13.1,0,12,19,17,447,33,18,248,312,2020-2021
508,Timo Werner,35,6,8,2,0,629,824,79,31,13.8,0,20,43,23,1148,80,29,713,914,2020-2021
509,Ashley Westwood,38,3,3,7,0,1662,2246,20,7,23.5,1,23,42,26,2460,19,13,1227,1562,2020-2021
510,Ben White,36,0,0,5,1,1491,1812,10,1,16.8,0,49,57,46,2117,32,24,1225,1420,2020-2021
511,Georginio Wijnaldum,38,2,0,1,0,1644,1778,31,9,17.8,1,23,31,18,2005,51,34,1350,1526,2020-2021
512,Brandon Williams,4,0,0,0,0,120,143,1,1,11.8,0,0,1,1,161,4,2,98,108,2020-2021
513,Neco Williams,6,0,0,1,0,151,210,2,0,17.2,0,6,9,3,244,7,5,153,154,2020-2021
514,Rhys Williams,9,0,0,0,0,440,504,7,0,10.6,0,6,3,4,558,0,0,321,380,2020-2021
515,Willian,25,1,5,0,0,625,790,20,3,19.4,5,13,16,13,912,18,13,539,667,2020-2021
516,Joe Willock,7,0,0,1,0,68,93,4,0,11.6,0,6,7,6,136,9,4,81,87,2020-2021
517,Joe Willock,14,8,0,0,0,179,242,18,12,14.2,0,26,42,21,410,40,22,205,209,2020-2021
518,Callum Wilson,26,12,5,2,0,242,359,45,16,13.4,0,12,12,10,596,43,26,361,452,2020-2021
519,Harry Winks,15,0,0,5,0,579,683,4,1,30.9,0,16,20,16,757,5,4,454,566,2020-2021
520,Chris Wood,33,12,3,0,0,425,663,68,37,14.1,0,12,18,14,932,21,7,454,764,2020-2021
521,Granit Xhaka,31,1,2,7,1,2011,2239,21,7,27.1,7,50,58,23,2440,16,8,1532,1809,2020-2021
522,Andriy Yarmolenko,15,0,1,3,0,117,152,7,2,20.3,0,5,8,1,198,12,6,126,149,2020-2021
523,DeAndre Yedlin,6,0,0,0,0,113,179,2,0,21.7,0,9,10,5,228,2,1,107,116,2020-2021
524,Okay Yokuşlu,16,0,1,4,0,439,536,12,0,21.1,1,38,35,15,726,25,19,351,324,2020-2021
525,Wilfried Zaha,30,11,2,6,0,586,784,58,18,16.9,0,26,30,21,1167,117,55,851,954,2020-2021
526,Andre-Frank Zambo Anguissa,36,0,3,6,0,1201,1434,34,8,21.6,0,78,68,35,1827,143,96,1087,1201,2020-2021
527,Andi Zeqiri,9,0,0,0,0,21,44,7,2,13.6,0,3,2,1,69,1,1,41,45,2020-2021
528,Oleksandr Zinchenko,20,0,0,0,0,1340,1517,16,4,22.7,1,25,24,17,1647,9,6,980,1196,2020-2021
529,Hakim Ziyech,23,2,3,3,0,547,742,35,12,23.1,1,14,19,9,876,35,19,534,691,2020-2021
530,Kurt Zouma,24,5,0,3,0,1616,1781,27,12,13.4,0,16,8,13,2001,4,2,1280,1527,2020-2021
531,Martin Ødegaard,14,1,2,0,0,462,533,15,3,22.5,1,9,14,2,598,17,13,388,460,2020-2021
