,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
287,Javier Manquillo,18,0,3,2,0,340,506,2,1,19.0,0,27,14,9,673,11,5,252,297,2018-2019
288,Solly March,35,1,5,1,0,598,938,43,9,21.4,3,56,45,34,1281,84,49,742,794,2018-2019
289,Adrian Mariappa,26,0,0,3,0,731,890,7,1,9.9,0,35,32,23,1122,2,1,620,673,2018-2019
290,Lazar Marković,1,0,0,0,0,28,29,0,0,,0,0,0,0,37,1,1,17,32,2018-2019
291,Anthony Martial,27,10,2,2,0,573,752,38,22,16.1,0,9,11,12,955,65,32,619,800,2018-2019
292,Adam Masina,14,0,1,5,0,432,564,3,0,28.4,0,30,25,19,704,11,7,306,323,2018-2019
293,Arthur Masuaku,23,0,1,2,0,880,1101,4,1,26.7,0,57,56,27,1350,50,36,670,727,2018-2019
294,Juan Mata,22,3,2,3,0,620,775,19,6,19.1,3,9,21,8,862,17,10,498,658,2018-2019
295,Nemanja Matić,28,1,0,7,1,1602,1858,12,3,17.4,0,50,59,39,2111,19,18,1116,1426,2018-2019
296,Joël Matip,22,1,0,3,0,1176,1356,8,2,8.5,0,39,24,12,1545,8,6,993,1080,2018-2019
297,Konstantinos Mavropanos,4,0,0,1,0,127,137,2,0,15.1,0,1,1,1,155,2,2,96,114,2018-2019
298,Alfie Mawson,15,0,0,2,0,393,482,2,1,11.4,0,11,10,20,616,0,0,265,329,2018-2019
299,Isaac Mbenza,22,1,1,1,0,183,272,16,5,22.4,0,10,4,4,363,15,5,231,256,2018-2019
300,James McArthur,38,3,6,7,0,1135,1445,34,8,15.0,0,84,78,64,1874,31,20,933,1146,2018-2019
301,Alex McCarthy,25,0,0,1,0,345,668,0,0,,0,0,0,0,723,1,1,309,207,2018-2019
302,James McCarthy,1,0,0,0,0,7,7,0,0,,0,2,0,0,10,0,0,4,4,2018-2019
303,Kevin McDonald,15,0,0,5,1,494,583,4,0,28.3,0,15,13,8,650,0,0,272,455,2018-2019
304,Dwight McNeil,21,3,5,2,0,380,583,27,6,20.9,3,36,44,30,795,55,31,458,473,2018-2019
305,Scott McTominay,16,2,0,1,0,376,456,15,6,17.7,0,10,10,9,555,4,1,303,385,2018-2019
306,Ben Mee,38,0,2,9,0,1134,1522,21,4,9.8,0,55,44,59,1986,9,8,810,953,2018-2019
307,Nathaniel Mendez-Laing,20,4,1,0,0,169,287,19,8,15.6,0,34,26,17,456,42,29,243,269,2018-2019
308,Benjamin Mendy,10,0,5,1,0,674,804,7,3,24.2,0,16,17,13,894,16,9,573,601,2018-2019
309,Nampalys Mendy,31,0,0,5,0,971,1097,2,0,22.5,0,33,22,24,1288,24,16,819,871,2018-2019
310,Chris Mepham,13,0,1,1,0,326,412,2,0,8.9,0,9,11,12,519,3,3,291,289,2018-2019
311,Max Meyer,29,1,2,3,0,562,697,38,8,19.1,0,33,20,6,880,21,13,517,634,2018-2019
312,Luka Milivojević,38,12,2,10,0,1649,2189,46,13,30.0,16,90,91,47,2608,21,13,1113,1496,2018-2019
313,James Milner,31,5,4,6,1,1313,1636,21,4,22.7,1,43,41,40,1850,20,15,1153,1252,2018-2019
314,Yerry Mina,13,1,0,3,0,425,507,4,1,10.8,0,14,9,11,607,0,0,356,379,2018-2019
315,Tyrone Mings,5,0,0,0,0,79,96,0,0,,0,4,3,5,120,2,2,72,67,2018-2019
316,Aleksandar Mitrović,37,11,3,7,0,745,1042,130,46,15.4,2,19,15,22,1512,45,24,652,1181,2018-2019
317,Henrikh Mkhitaryan,25,6,4,1,0,655,876,49,14,19.1,1,28,22,34,1128,52,20,579,782,2018-2019
318,Nacho Monreal,22,1,3,5,0,1146,1337,7,4,15.2,0,35,25,28,1530,13,7,743,996,2018-2019
319,Martín Montoya,25,0,1,4,0,900,1152,8,1,26.1,0,58,55,30,1432,23,12,635,705,2018-2019
