,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
490,Joe Willock,2,0,0,0,0,12,15,2,0,17.4,0,1,0,1,27,2,0,21,23,2018-2019
491,Ben Wilmot,2,0,0,0,0,6,9,0,0,,0,0,1,2,13,0,0,5,6,2018-2019
492,Jack Wilshere,8,0,1,2,0,194,219,2,1,16.6,0,7,6,3,252,16,15,157,198,2018-2019
493,Callum Wilson,30,14,9,3,0,303,464,63,27,11.8,0,9,8,14,742,42,17,539,583,2018-2019
494,Harry Winks,26,1,0,4,0,1277,1399,9,2,22.0,0,22,30,19,1529,23,17,1125,1197,2018-2019
495,Chris Wood,38,10,2,2,0,390,613,59,23,12.4,0,12,17,17,900,13,8,426,705,2018-2019
496,Granit Xhaka,29,4,2,10,0,1981,2425,29,11,26.5,7,52,59,35,2691,14,7,1421,1858,2018-2019
497,Andriy Yarmolenko,9,2,0,2,0,167,214,9,3,17.1,0,4,6,4,262,3,2,182,218,2018-2019
498,DeAndre Yedlin,29,1,2,6,1,768,1094,11,2,24.7,0,54,41,36,1394,19,8,492,612,2018-2019
499,Maya Yoshida,17,0,1,0,0,421,557,13,3,9.7,0,16,13,24,778,3,2,306,351,2018-2019
500,Ashley Young,30,2,2,9,1,1369,1896,12,3,21.5,2,52,39,36,2183,34,17,989,1168,2018-2019
501,Pablo Zabaleta,26,0,1,4,0,852,1134,7,1,24.0,0,47,44,39,1426,22,14,617,701,2018-2019
502,Wilfried Zaha,34,10,5,9,1,818,1081,73,27,16.7,0,39,34,19,1600,225,114,1158,1290,2018-2019
503,Andre-Frank Zambo Anguissa,22,0,0,2,1,913,1048,21,5,24.7,0,48,52,25,1281,54,42,661,880,2018-2019
504,Davide Zappacosta,4,0,0,0,0,74,91,2,1,17.4,0,0,1,0,107,3,2,52,67,2018-2019
505,Oleksandr Zinchenko,14,0,3,1,0,1215,1352,7,1,25.8,0,34,33,14,1478,13,5,942,1064,2018-2019
506,Kenneth Zohore,19,1,1,1,0,87,145,17,7,13.8,0,3,3,4,231,8,5,119,182,2018-2019
507,Kurt Zouma,32,2,2,4,1,1221,1467,19,3,13.5,0,32,11,27,1780,8,7,974,1045,2018-2019
