,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
260,Jamal Lewis,28,1,0,4,0,1052,1333,9,4,21.8,0,51,36,27,1626,65,34,931,937,2019-2020
261,Victor Lindelöf,35,1,0,6,0,1824,2114,6,1,11.4,0,29,20,25,2379,5,4,1376,1595,2019-2020
262,Jesse Lingard,22,1,0,3,0,350,408,22,6,18.7,0,15,18,5,508,23,13,284,405,2019-2020
263,Hugo Lloris,21,0,0,0,0,414,573,0,0,,0,0,0,0,621,0,0,320,219,2019-2020
264,Giovani Lo Celso,28,0,2,6,0,839,1034,18,3,22.0,1,51,59,20,1266,51,32,875,864,2019-2020
265,Jürgen Locadia,2,0,0,0,0,10,21,2,1,9.9,0,0,0,0,29,1,1,12,22,2019-2020
266,Ruben Loftus-Cheek,7,0,1,0,0,119,133,4,0,9.6,0,0,2,1,150,4,4,94,120,2019-2020
267,Kevin Long,8,0,0,0,0,149,201,2,0,11.9,0,7,9,9,257,1,1,114,122,2019-2020
268,Shane Long,26,2,2,0,0,210,402,33,13,11.3,0,19,19,12,597,13,6,270,458,2019-2020
269,Matthew Longstaff,9,2,0,1,0,206,258,4,2,20.4,0,3,14,4,293,4,3,161,192,2019-2020
270,Sean Longstaff,23,1,1,2,1,509,666,25,7,24.8,3,35,50,23,857,18,7,450,498,2019-2020
271,Dejan Lovren,10,0,1,1,0,569,683,5,1,8.6,0,13,12,9,778,1,1,502,518,2019-2020
272,Matthew Lowton,17,0,1,2,0,509,755,1,0,24.4,0,41,33,20,946,15,9,381,443,2019-2020
273,David Luiz,33,2,1,5,2,1537,1816,23,8,20.4,7,28,24,42,2106,8,5,1370,1451,2019-2020
274,Douglas Luiz,36,3,2,8,0,1010,1243,38,12,24.0,3,46,65,42,1551,45,35,821,922,2019-2020
275,John Lundstram,34,5,3,5,0,987,1245,43,10,17.6,0,46,65,18,1525,37,18,759,1067,2019-2020
276,Alexis Mac Allister,9,0,0,0,0,77,121,7,1,22.5,1,9,9,12,169,4,2,73,85,2019-2020
277,James Maddison,31,6,3,4,0,1288,1709,74,18,22.0,14,59,68,16,1995,80,51,1333,1438,2019-2020
278,Harry Maguire,38,1,1,6,0,2192,2535,31,8,12.7,0,37,34,31,2915,11,7,1753,1951,2019-2020
279,Riyad Mahrez,33,11,9,0,0,1015,1200,73,30,17.0,6,28,38,31,1479,89,52,1113,1161,2019-2020
280,Ainsley Maitland-Niles,20,0,2,6,1,841,1025,4,1,18.0,0,41,43,12,1203,34,19,596,744,2019-2020
281,Sadio Mané,35,18,7,3,0,923,1170,77,36,13.5,0,44,40,19,1547,110,69,1195,1256,2019-2020
282,Javier Manquillo,21,0,1,5,0,448,642,1,0,11.8,0,39,38,14,814,25,13,362,402,2019-2020
