,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
0,Max Aarons,34,0,2,8,0,1107,1469,13,2,19.9,0,64,55,39,1841,68,34,953,1030,2021-2022
1,Che Adams,30,7,3,0,0,304,472,49,24,13.3,0,13,16,18,712,35,20,394,537,2021-2022
2,Rayan Aït Nouri,23,1,2,4,0,763,1025,13,4,17.6,0,64,44,24,1293,81,42,659,736,2021-2022
3,Kristoffer Ajer,24,1,3,5,0,627,892,7,1,8.8,0,29,21,19,1101,18,13,488,530,2021-2022
4,Nathan Aké,14,2,0,0,0,796,878,5,2,7.3,0,16,8,7,956,2,0,677,741,2021-2022
5,Marc Albrighton,17,1,2,3,0,347,558,4,1,16.3,0,31,47,15,705,40,15,357,397,2021-2022
6,Thiago Alcántara,25,1,4,2,0,1340,1508,25,6,19.3,0,48,42,22,1700,32,20,1039,1279,2021-2022
7,Trent Alexander-Arnold,32,2,12,2,0,2039,2757,51,15,24.0,8,40,60,22,3036,39,19,1504,1897,2021-2022
8,Alisson,36,0,1,0,0,1214,1388,0,0,,0,3,5,1,1469,1,1,873,836,2021-2022
9,Allan,28,0,2,7,1,778,982,7,3,24.5,0,74,105,40,1259,31,21,650,672,2021-2022
10,Dele Alli,10,1,0,1,0,177,228,3,2,21.4,0,14,17,22,339,27,12,184,203,2021-2022
11,Dele Alli,11,0,0,3,0,114,157,3,0,19.4,0,7,4,7,225,14,5,108,132,2021-2022
12,Miguel Almirón,30,1,0,2,0,402,511,32,7,19.6,0,47,44,14,728,39,26,446,471,2021-2022
13,Marcos Alonso,28,4,4,8,0,1142,1486,43,10,18.7,9,41,36,29,1791,35,15,882,1037,2021-2022
14,Steven Alzate,9,0,0,0,0,204,233,1,1,16.1,0,10,7,2,292,8,6,148,177,2021-2022
15,Daniel Amartey,28,0,0,4,0,1399,1546,2,1,34.1,0,26,29,30,1752,7,6,1133,1278,2021-2022
16,Joachim Andersen,34,0,3,4,0,1911,2351,8,3,15.3,1,30,27,29,2614,9,7,1604,1865,2021-2022
17,Michail Antonio,36,10,8,8,1,438,702,82,27,14.9,0,23,18,19,1095,93,50,681,885,2021-2022
18,Cameron Archer,3,0,0,0,0,4,4,1,0,12.6,0,0,0,0,11,1,0,7,7,2021-2022
19,Alphonse Areola,1,0,0,0,0,21,40,0,0,,0,0,0,0,42,0,0,20,20,2021-2022
20,Adam Armstrong,23,2,2,1,0,229,324,47,14,17.2,0,10,6,13,493,42,16,287,335,2021-2022
21,Stuart Armstrong,25,2,0,1,0,590,744,38,9,20.5,0,27,23,10,946,54,27,595,661,2021-2022
22,Kepa Arrizabalaga,4,0,0,0,0,115,138,0,0,,0,0,0,0,146,0,0,101,80,2021-2022
23,Harrison Ashby,1,0,0,0,0,7,7,0,0,,0,0,0,1,9,0,0,5,6,2021-2022
24,Pierre-Emerick Aubameyang,14,4,1,3,0,137,208,33,16,15.0,0,11,10,12,319,7,2,142,220,2021-2022
25,Jordan Ayew,31,3,3,2,0,576,754,35,8,16.8,1,47,31,33,1087,71,34,696,779,2021-2022
26,Luke Ayling,26,2,2,4,1,1224,1592,19,3,13.0,0,74,97,46,1884,37,23,1002,1147,2021-2022
27,César Azpilicueta,27,1,2,3,0,1486,1787,11,4,14.7,0,51,35,32,2017,19,15,1098,1420,2021-2022
28,Daniel Bachmann,12,0,0,0,0,216,364,0,0,,0,0,0,0,401,1,1,214,148,2021-2022
29,Leon Bailey,18,1,2,3,0,150,226,21,8,19.4,4,17,13,10,348,29,13,232,244,2021-2022
30,Eric Bailly,4,0,0,1,0,68,85,0,0,,0,5,4,4,114,1,0,55,59,2021-2022
31,Folarin Balogun,2,0,0,0,0,4,9,3,0,14.4,0,1,0,1,22,2,0,8,14,2021-2022
32,Patrick Bamford,9,2,2,2,0,88,108,20,5,14.0,0,1,3,8,173,7,4,92,111,2021-2022
33,Shandon Baptiste,22,1,0,2,1,257,308,12,4,20.1,0,14,15,10,418,28,19,252,269,2021-2022
34,Ross Barkley,6,1,0,0,0,106,128,9,4,22.3,0,0,1,1,153,8,7,94,124,2021-2022
35,Ashley Barnes,23,1,0,4,0,122,198,15,5,17.3,0,11,9,8,302,8,5,139,224,2021-2022
36,Harvey Barnes,32,6,10,2,0,550,756,66,24,16.1,0,31,23,24,1052,75,31,732,834,2021-2022
37,Lewis Bate,3,0,0,0,0,45,61,1,0,28.9,0,1,8,1,86,5,1,47,53,2021-2022
38,Mads Bech Sørensen,11,0,0,3,0,393,514,2,0,12.8,0,8,7,9,576,1,0,296,325,2021-2022
39,Jan Bednarek,31,4,0,10,0,1201,1490,19,7,8.9,0,32,33,48,1828,1,1,873,993,2021-2022
40,Donny van de Beek,8,1,0,0,0,26,34,2,1,9.0,0,6,2,5,56,5,1,25,31,2021-2022
41,Donny van de Beek,7,1,0,1,0,206,250,5,1,20.5,0,15,13,6,306,9,3,149,180,2021-2022
42,Asmir Begović,3,0,0,0,0,39,85,0,0,,0,0,0,0,97,0,0,34,26,2021-2022
43,Saïd Benrahma,32,8,6,0,0,632,841,63,20,19.6,3,28,38,17,1121,80,37,725,807,2021-2022
44,Rodrigo Bentancur,17,0,4,5,0,912,1019,14,2,19.5,0,36,32,24,1184,20,14,760,898,2021-2022
45,Christian Benteke,25,4,1,3,0,196,305,39,13,12.5,0,3,6,7,450,13,9,203,345,2021-2022
46,Jóhann Berg Guðmundsson,18,0,1,2,0,209,341,19,5,19.9,2,16,20,11,474,22,14,270,295,2021-2022
47,Steven Bergwijn,25,3,1,1,0,144,177,19,10,16.3,0,3,10,3,258,20,10,171,203,2021-2022
48,Ryan Bertrand,4,0,0,1,0,151,191,0,0,,0,8,5,8,229,0,0,101,124,2021-2022
49,Mads Bidstrup,4,0,0,0,0,10,13,0,0,,0,1,3,0,20,0,0,6,9,2021-2022
50,Yves Bissouma,26,1,2,10,0,1061,1193,21,5,25.3,1,76,37,33,1505,51,34,839,978,2021-2022
51,Willy Boly,10,0,0,1,0,468,558,2,1,9.4,0,25,15,14,663,6,3,367,432,2021-2022
52,Jarrod Bowen,36,12,10,6,0,574,863,79,34,15.7,0,36,44,29,1225,88,50,710,769,2021-2022
53,Jarrad Branthwaite,6,1,0,0,1,89,117,3,2,14.0,0,4,8,3,158,2,1,62,72,2021-2022
54,Armando Broja,32,6,0,2,0,243,404,45,19,13.0,0,12,9,17,673,70,33,364,488,2021-2022
55,Josh Brownhill,35,2,3,10,0,891,1196,29,9,23.8,4,73,53,37,1528,30,15,614,749,2021-2022
56,Lewis Brunt,1,0,0,0,0,21,21,0,0,,0,0,0,1,26,1,1,22,22,2021-2022
57,Emi Buendía,35,4,6,1,0,711,902,44,13,17.9,0,38,51,21,1146,64,40,673,806,2021-2022
58,Dan Burn,16,0,1,4,0,459,587,11,1,10.3,0,16,11,22,782,0,0,340,384,2021-2022
59,Dan Burn,13,1,0,4,0,523,645,7,3,8.4,0,22,15,14,797,3,0,455,506,2021-2022
60,Jack Butland,9,0,0,0,0,214,287,0,0,,0,0,0,0,296,0,0,162,138,2021-2022
61,Sam Byram,15,0,0,3,0,393,515,7,1,10.1,0,24,27,21,669,8,3,317,332,2021-2022
62,Willy Caballero,2,0,0,1,0,37,60,0,0,,0,0,0,0,69,0,0,31,32,2021-2022
63,Moisés Caicedo,8,1,1,2,0,225,275,10,4,18.4,0,16,12,18,358,10,7,179,206,2021-2022
64,Dominic Calvert-Lewin,17,5,2,2,0,167,280,30,11,13.8,0,11,8,5,448,11,2,194,328,2021-2022
65,Chem Campbell,1,0,0,0,0,9,10,0,0,,0,1,0,0,11,0,0,5,9,2021-2022
66,João Cancelo,36,1,7,7,0,2809,3365,81,23,22.0,1,83,91,25,3769,106,56,2411,2749,2021-2022
67,Sergi Canós,31,3,2,8,1,449,774,33,12,16.3,1,56,60,32,1070,50,23,581,601,2021-2022
68,Todd Cantwell,8,0,0,2,0,130,157,5,0,28.5,0,15,17,2,205,10,5,128,143,2021-2022
69,Matty Cash,38,4,3,8,0,1113,1627,37,13,17.9,0,89,78,54,2093,59,33,1007,1030,2021-2022
70,Timothy Castagne,27,1,0,1,0,1077,1330,7,3,15.2,0,67,43,28,1600,19,6,781,947,2021-2022
71,Jonny Castro,13,2,0,1,0,509,610,10,5,18.9,0,25,20,14,735,25,14,404,483,2021-2022
72,Craig Cathcart,31,0,1,3,0,767,953,3,0,10.2,0,32,30,39,1209,1,0,554,636,2021-2022
73,Edinson Cavani,15,2,1,0,0,176,233,18,6,12.6,0,4,8,6,298,5,4,144,217,2021-2022
74,Kayky Chagas,1,0,0,0,0,2,2,0,0,,0,0,0,0,3,0,0,3,3,2021-2022
75,Trevoh Chalobah,20,3,1,2,0,1158,1283,9,7,18.8,0,40,31,16,1442,12,10,816,1070,2021-2022
76,Calum Chambers,2,0,0,0,0,77,97,2,0,20.4,0,5,4,6,123,0,0,60,67,2021-2022
77,Calum Chambers,11,1,0,1,0,399,483,3,1,14.6,0,16,6,14,573,1,0,344,356,2021-2022
78,Daniel Chesters,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2021-2022
79,Ben Chilwell,7,3,1,0,0,268,347,13,6,17.7,0,8,5,7,420,6,3,207,258,2021-2022
80,Chiquinho,8,0,3,0,0,70,108,5,2,9.0,0,9,5,5,147,17,10,92,101,2021-2022
81,Hamza Choudhury,6,0,0,1,0,128,156,1,0,14.0,0,9,5,0,206,3,2,94,124,2021-2022
82,Andreas Christensen,19,0,0,2,0,1201,1336,5,0,19.7,0,14,7,14,1477,4,4,823,1058,2021-2022
83,Carney Chukwuemeka,12,0,1,0,0,98,121,4,1,17.1,0,7,5,3,167,10,6,111,123,2021-2022
84,Ciaran Clark,13,0,1,2,1,290,370,7,1,7.8,0,13,14,14,464,5,4,231,259,2021-2022
85,Tom Cleverley,28,0,2,2,0,479,658,12,7,21.0,0,37,33,23,803,6,3,348,440,2021-2022
86,Nathaniel Clyne,16,0,1,1,0,561,727,3,2,26.1,0,21,20,7,827,6,4,377,443,2021-2022
87,Conor Coady,38,4,0,4,0,1514,1692,12,4,12.5,0,31,28,46,1971,1,1,1144,1373,2021-2022
88,Séamus Coleman,30,1,0,4,0,914,1255,8,1,18.3,0,61,51,30,1549,49,34,697,713,2021-2022
89,Nathan Collins,19,2,0,2,1,448,652,15,5,9.3,0,37,27,38,882,8,5,382,375,2021-2022
90,Aaron Connolly,4,0,0,0,0,14,19,2,0,15.5,0,0,1,2,33,2,0,22,22,2021-2022
91,Liam Cooper,21,0,1,5,0,981,1183,6,1,10.8,0,41,33,29,1405,4,3,748,822,2021-2022
92,Jack Cork,20,1,0,4,0,423,577,7,1,18.0,0,20,20,17,740,13,7,309,389,2021-2022
93,Maxwel Cornet,26,9,1,2,0,281,437,46,22,16.9,4,16,15,13,664,38,13,355,424,2021-2022
94,Hélder Costa,1,0,0,0,0,5,5,1,0,23.3,0,0,0,1,9,0,0,6,6,2021-2022
95,Vladimír Coufal,28,0,4,5,1,990,1439,11,4,17.7,0,45,36,31,1681,23,15,778,888,2021-2022
96,Philippe Coutinho,19,5,3,0,0,531,655,43,16,21.2,6,17,21,11,815,43,21,568,632,2021-2022
97,Aaron Cresswell,31,2,3,3,0,1656,2096,18,3,20.5,8,28,25,31,2312,17,8,1305,1497,2021-2022
98,Charlie Cresswell,5,0,0,1,0,75,106,1,0,9.2,0,5,3,1,124,0,0,68,77,2021-2022
99,Cucho,25,5,2,3,0,239,394,34,10,19.0,5,13,27,13,545,39,18,308,352,2021-2022
100,Marc Cucurella,35,1,1,6,0,1890,2356,18,3,20.9,0,93,71,42,2717,55,28,1431,1638,2021-2022
101,Luke Cundle,4,0,0,0,0,96,105,0,0,,0,4,1,0,116,1,0,48,86,2021-2022
102,Patson Daka,23,5,3,2,0,165,223,26,15,15.2,0,15,19,7,370,16,3,195,244,2021-2022
103,Stuart Dallas,34,1,1,5,0,1306,1685,30,8,21.7,0,93,105,45,2056,43,29,985,1113,2021-2022
104,Diogo Dalot,24,0,0,4,0,934,1193,13,4,21.0,0,55,57,24,1422,25,17,734,826,2021-2022
105,Karl Darlow,8,0,0,1,0,155,250,0,0,,0,0,0,0,266,0,0,137,92,2021-2022
106,Josh Dasilva,9,0,0,0,1,75,93,1,0,13.2,0,2,2,3,123,11,7,74,66,2021-2022
107,Ben Davies,29,1,1,6,0,1391,1648,18,7,17.1,0,36,26,32,1888,11,7,1211,1344,2021-2022
108,Tom Davies,6,1,0,1,0,60,82,6,2,17.3,0,3,5,2,124,3,2,59,68,2021-2022
109,Keinan Davis,1,0,0,0,0,3,3,0,0,,0,0,0,0,5,0,0,7,7,2021-2022
110,Craig Dawson,34,2,2,5,1,1035,1285,25,5,8.5,0,29,25,59,1606,4,4,892,970,2021-2022
111,Kevin De Bruyne,30,15,8,2,0,1170,1568,78,31,19.2,7,32,37,32,1821,55,31,1126,1350,2021-2022
112,Troy Deeney,2,0,0,0,0,3,7,2,0,12.7,0,0,1,0,12,0,0,2,10,2021-2022
113,Liam Delap,1,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,1,1,2021-2022
114,Fabian Delph,11,0,0,2,0,259,309,2,0,27.3,0,18,21,12,382,7,5,215,226,2021-2022
115,Leander Dendoncker,30,2,2,4,0,709,822,23,10,16.1,0,42,50,37,1024,10,5,461,651,2021-2022
116,Emmanuel Dennis,33,10,6,9,1,411,628,60,26,15.5,7,51,52,36,1078,156,68,644,706,2021-2022
117,Kiernan Dewsbury-Hall,28,1,2,4,0,950,1250,21,3,21.6,1,39,40,37,1516,49,30,910,1076,2021-2022
118,Ibrahima Diallo,23,0,2,1,0,361,453,8,4,21.3,0,22,24,7,546,21,16,321,360,2021-2022
119,Rúben Dias,29,2,4,5,0,2133,2287,18,3,11.8,0,26,15,19,2471,4,2,1715,1977,2021-2022
120,Luis Díaz,13,4,3,0,0,392,455,38,13,16.7,0,9,8,7,595,49,31,399,476,2021-2022
121,Eric Dier,35,0,0,1,0,2056,2341,13,4,14.4,4,15,14,37,2610,2,1,1737,1971,2021-2022
122,Lucas Digne,16,0,4,2,0,629,838,9,2,18.0,1,13,19,15,978,13,3,495,544,2021-2022
123,Lucas Digne,13,0,0,4,0,497,702,9,1,22.9,3,33,28,16,829,17,8,356,389,2021-2022
124,Issa Diop,13,0,1,0,0,407,478,2,2,9.9,0,10,11,14,572,0,0,311,353,2021-2022
125,Moussa Djenepo,12,0,0,3,0,109,147,11,1,16.3,0,9,11,6,246,29,12,155,150,2021-2022
126,Lewis Dobbin,3,0,0,1,0,5,8,0,0,,0,2,2,0,13,1,0,10,8,2021-2022
127,Matt Doherty,15,2,4,0,0,437,533,16,6,14.1,0,18,14,11,644,10,6,382,420,2021-2022
128,Gabriel Dos Santos,35,5,0,8,1,1828,2049,29,12,11.2,0,50,41,34,2343,4,4,1554,1700,2021-2022
129,Abdoulaye Doucouré,30,2,4,6,0,864,1097,34,11,17.9,0,75,71,33,1390,41,21,694,764,2021-2022
130,Kieran Dowell,19,1,1,0,0,223,334,8,2,20.8,3,18,32,10,415,14,7,218,284,2021-2022
131,Cody Drameh,3,0,0,1,0,62,82,0,0,,0,4,3,0,101,4,2,37,45,2021-2022
132,Martin Dúbravka,26,0,0,1,0,534,846,0,0,,0,1,1,0,895,0,0,462,324,2021-2022
133,Shane Duffy,18,1,0,7,0,906,1039,22,5,11.3,0,15,14,24,1218,1,1,627,851,2021-2022
134,Paul Dummett,3,0,0,2,0,51,73,0,0,,0,7,8,5,96,0,0,33,37,2021-2022
135,Lewis Dunk,29,1,0,3,1,1726,1958,19,7,10.8,0,10,11,32,2197,4,4,1306,1575,2021-2022
136,Ederson,37,0,0,3,0,1016,1128,0,0,,0,2,2,0,1169,0,0,795,714,2021-2022
137,Odsonne Édouard,28,6,3,4,0,309,429,39,17,13.3,0,16,21,20,679,67,30,381,479,2021-2022
138,CJ Egan-Riley,1,0,0,0,0,1,1,0,0,,0,1,1,0,1,0,0,0,0,2021-2022
139,Anthony Elanga,21,2,2,0,0,340,450,21,7,15.7,0,26,29,17,619,31,11,354,447,2021-2022
140,Harvey Elliott,6,0,0,0,0,209,256,10,1,18.5,0,3,6,8,302,9,2,174,226,2021-2022
141,Mohamed Elneny,14,0,2,1,0,528,565,8,2,26.9,0,16,12,7,630,1,0,365,467,2021-2022
142,Mohamed Elyounoussi,30,4,2,4,0,432,638,43,17,14.7,0,36,39,23,933,45,28,485,594,2021-2022
143,Emerson,31,1,1,5,0,1170,1450,15,4,14.6,0,72,67,25,1765,34,17,911,1019,2021-2022
144,Christian Eriksen,11,1,4,1,0,478,639,22,8,24.6,5,13,17,9,740,16,8,409,475,2021-2022
145,Oghenekaro Etebo,9,0,0,3,0,151,168,3,0,31.0,0,11,8,3,204,10,6,106,123,2021-2022
146,Jonny Evans,18,1,1,3,0,846,1020,3,2,5.6,0,24,22,17,1147,3,2,657,747,2021-2022
147,Eberechi Eze,13,1,1,1,0,234,304,10,1,20.8,1,10,11,4,376,23,14,222,262,2021-2022
148,Łukasz Fabiański,37,0,0,2,0,666,1013,0,0,,0,0,0,0,1084,0,0,593,414,2021-2022
149,Fabinho,29,5,1,7,0,1350,1550,19,7,19.9,2,46,70,33,1788,15,11,942,1231,2021-2022
150,Kiko Femenía,27,0,5,2,0,867,1228,3,1,20.7,0,35,37,24,1431,14,7,611,667,2021-2022
151,Evan Ferguson,1,0,0,0,0,5,6,0,0,,0,0,0,0,7,0,0,1,7,2021-2022
152,Nathan Ferguson,1,0,0,0,0,3,5,0,0,,0,0,0,0,5,0,0,1,1,2021-2022
153,Bruno Fernandes,36,10,6,10,0,1549,2093,87,29,21.9,6,54,91,36,2445,52,26,1450,1799,2021-2022
154,Álvaro Fernández,12,0,0,0,0,336,517,0,0,,0,0,0,0,546,0,0,340,280,2021-2022
155,Federico Fernández,7,0,0,0,0,182,211,6,1,10.2,0,3,5,10,265,0,0,152,169,2021-2022
156,Fernandinho,19,2,1,1,0,746,842,18,3,16.7,0,21,27,8,927,11,9,637,742,2021-2022
157,Roberto Firmino,20,5,4,3,0,390,501,30,11,15.3,0,23,16,20,664,33,17,370,500,2021-2022
158,Junior Firpo,24,0,2,11,0,768,952,11,1,14.6,0,61,59,22,1152,28,16,585,670,2021-2022
159,Ashley Fletcher,3,0,0,0,0,3,7,2,1,17.6,0,2,1,1,14,0,0,10,10,2021-2022
160,Phil Foden,28,9,5,1,0,881,1102,57,22,14.5,0,16,17,9,1303,58,37,872,1023,2021-2022
161,Wesley Fofana,7,0,0,2,0,470,528,3,1,7.9,0,12,11,5,594,3,3,434,439,2021-2022
162,Pablo Fornals,36,6,3,4,0,1052,1417,43,11,18.7,0,54,84,49,1731,54,23,981,1184,2021-2022
163,Adam Forshaw,22,0,1,5,0,695,842,14,4,25.0,1,53,54,17,995,19,12,539,629,2021-2022
164,Marcus Forss,7,0,1,0,0,22,38,5,0,15.8,0,3,4,5,69,4,1,29,37,2021-2022
165,Fraser Forster,19,0,0,1,0,360,603,0,0,,0,1,1,0,673,0,0,336,260,2021-2022
166,Ben Foster,26,0,1,0,0,428,886,0,0,,0,0,3,0,940,1,1,450,338,2021-2022
167,Tariqe Fosu,1,0,0,0,0,6,7,1,1,17.0,0,0,0,1,10,0,0,7,8,2021-2022
168,Ryan Fraser,27,2,3,3,0,334,482,24,7,18.0,0,10,13,11,590,4,1,370,410,2021-2022
169,Fred,28,4,4,5,0,1137,1358,15,9,21.3,0,63,79,38,1623,36,21,840,1093,2021-2022
170,Ryan Fredericks,7,0,0,1,0,113,150,0,0,,0,2,1,2,172,1,0,87,99,2021-2022
171,Leo Fuhr Hjelde,2,0,0,0,0,79,108,0,0,,0,5,3,3,130,0,0,59,63,2021-2022
172,Conor Gallagher,34,8,3,10,0,890,1188,52,22,17.5,4,69,69,58,1578,75,42,829,933,2021-2022
173,Alejandro Garnacho,2,0,0,0,0,3,3,0,0,,0,0,1,0,3,0,0,3,3,2021-2022
174,Dwight Gayle,8,0,0,1,0,13,16,2,0,7.3,0,1,1,0,22,0,0,8,17,2021-2022
175,Jean-Philippe Gbamin,3,0,0,0,0,16,22,0,0,,0,1,2,0,31,3,2,15,21,2021-2022
176,David de Gea,38,0,0,0,0,677,924,0,0,,0,0,0,0,1020,0,0,466,371,2021-2022
177,Joe Gelhardt,20,2,2,4,0,106,163,23,9,15.4,0,4,10,9,274,29,17,158,199,2021-2022
178,Anwar El Ghazi,9,1,1,2,0,84,119,7,2,22.3,0,4,7,6,181,10,4,114,134,2021-2022
179,Anwar El Ghazi,2,0,0,0,0,7,9,0,0,,0,1,1,3,14,1,0,6,8,2021-2022
180,Saman Ghoddos,17,1,1,2,0,143,216,8,3,20.4,1,17,15,2,296,7,5,147,159,2021-2022
181,Dimitris Giannoulis,18,0,1,2,0,530,714,2,1,16.2,0,36,36,22,894,46,29,479,484,2021-2022
182,Morgan Gibbs-White,2,0,0,1,0,7,10,2,0,16.8,0,0,0,1,14,0,0,4,7,2021-2022
183,Ben Gibson,28,0,0,5,1,1117,1382,8,4,10.6,0,23,12,36,1640,7,5,966,1071,2021-2022
184,Bryan Gil,9,0,0,0,0,50,64,1,1,15.6,0,3,2,2,79,6,4,53,60,2021-2022
185,Billy Gilmour,24,0,1,2,0,991,1243,18,3,23.3,2,41,52,21,1423,22,15,841,958,2021-2022
186,Ben Godfrey,23,0,0,6,0,611,808,18,6,17.2,0,47,39,41,1080,12,9,456,521,2021-2022
187,André Gomes,14,0,1,3,0,218,282,14,4,23.5,0,16,32,8,376,18,12,196,224,2021-2022
