,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
385,Ethan Pinnock,32,1,1,1,0,1218,1647,16,8,10.0,0,51,38,30,1993,11,9,830,983,2021-2022
386,Daniel Podence,26,2,3,2,0,449,637,35,15,22.0,1,18,17,8,813,66,35,542,625,2021-2022
387,Paul Pogba,20,1,9,7,1,736,893,32,8,18.0,0,13,28,11,1078,54,39,670,843,2021-2022
388,Nick Pope,36,0,0,1,0,556,1088,0,0,,0,0,2,0,1194,0,0,565,323,2021-2022
389,Isaac Price,1,0,0,0,0,1,2,1,0,8.9,0,0,0,1,5,0,0,3,3,2021-2022
390,Teemu Pukki,37,11,3,4,0,399,540,68,24,15.2,0,23,29,21,816,60,27,429,511,2021-2022
391,Christian Pulisic,22,6,2,2,0,362,464,28,11,13.2,0,10,17,12,664,57,25,439,511,2021-2022
392,Przemysław Płacheta,12,0,0,1,0,109,163,8,7,16.7,0,4,7,3,223,19,10,136,139,2021-2022
393,Jesuran Rak Sakyi,2,0,0,0,0,22,26,0,0,,0,0,1,3,41,2,0,25,27,2021-2022
394,Aaron Ramsdale,34,0,0,1,0,795,1178,0,0,,0,2,2,0,1258,1,1,807,630,2021-2022
395,Jacob Ramsey,34,6,1,6,0,889,1045,34,11,18.3,0,67,69,36,1361,48,30,905,993,2021-2022
396,Raphinha,35,11,3,7,0,824,1301,84,21,21.4,10,51,71,43,1796,146,62,991,1185,2021-2022
397,Marcus Rashford,25,4,2,2,0,304,424,22,12,17.7,1,6,13,10,570,53,22,359,463,2021-2022
398,Milot Rashica,31,1,2,0,0,363,602,44,17,22.3,7,31,30,22,911,73,16,526,558,2021-2022
399,David Raya,24,0,0,1,0,737,1085,0,0,,0,0,0,1,1139,0,0,691,576,2021-2022
400,Nathan Redmond,27,1,5,0,0,510,735,26,9,21.2,1,22,30,21,925,39,21,524,602,2021-2022
401,Sergio Reguilón,25,2,3,4,0,750,994,21,9,15.2,0,40,43,20,1239,46,19,647,753,2021-2022
402,Declan Rice,36,1,4,8,0,1986,2197,26,8,22.8,1,80,71,45,2548,72,50,1640,1777,2021-2022
403,Taylor Richards,2,0,0,0,0,21,27,1,0,24.0,0,1,2,0,32,1,0,26,26,2021-2022
404,Richarlison,30,10,5,9,0,339,568,69,20,16.4,2,40,31,42,999,82,40,576,658,2021-2022
