,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
136,Luis Díaz,17,4,2,2,0,376,462,27,8,15.1,0,17,15,8,618,65,32,440,500,2022-2023
137,Eric Dier,33,2,1,3,0,1708,2001,17,4,11.8,2,30,19,41,2274,6,3,1368,1600,2022-2023
138,Lucas Digne,28,1,0,5,0,696,927,8,3,20.5,4,30,33,18,1096,18,3,552,625,2022-2023
139,Issa Diop,25,1,0,2,0,1216,1399,3,2,12.3,0,28,32,24,1606,5,3,1026,1115,2022-2023
140,Moussa Djenepo,16,0,2,1,0,179,244,3,2,13.8,0,19,26,19,358,42,19,197,182,2022-2023
141,Ben Doak,2,0,0,0,0,10,14,0,0,,0,3,1,1,22,4,0,16,15,2022-2023
142,Matt Doherty,12,1,0,0,0,329,408,10,2,12.1,0,16,10,11,500,12,5,247,306,2022-2023
143,Gabriel Dos Santos,38,3,0,5,0,2155,2411,32,9,11.9,0,48,27,49,2776,3,2,1746,1934,2022-2023
144,Abdoulaye Doucouré,25,5,2,6,1,430,548,20,8,13.2,0,31,37,26,713,33,20,371,440,2022-2023
145,Cheick Doucouré,34,0,3,10,1,1038,1247,36,7,24.6,0,77,52,47,1577,21,15,761,884,2022-2023
146,Flynn Downes,21,0,0,2,0,289,331,4,1,14.6,0,16,12,15,405,2,1,224,276,2022-2023
147,Kami Doyle,1,0,0,0,0,5,5,0,0,,0,0,0,0,6,1,0,4,7,2022-2023
148,Cody Drameh,1,0,0,0,0,30,38,0,0,,0,5,3,0,44,1,1,17,23,2022-2023
149,Martin Dúbravka,2,0,0,0,0,49,54,0,0,,0,0,1,0,59,0,0,38,23,2022-2023
150,Shane Duffy,5,0,0,0,0,16,20,1,0,6.1,0,0,0,0,22,1,1,9,12,2022-2023
151,Lewis Dunk,36,1,0,4,0,2911,3223,22,3,11.7,1,30,41,37,3461,5,4,2294,2586,2022-2023
152,Jhon Durán,12,0,0,1,0,16,29,7,2,19.8,0,2,4,0,57,2,1,33,41,2022-2023
153,Malcolm Ebiowei,3,0,0,0,0,5,10,0,0,,0,1,1,2,21,5,2,14,15,2022-2023
154,Ederson,35,0,1,3,0,1079,1257,0,0,,0,3,2,0,1302,0,0,869,833,2022-2023
155,Odsonne Édouard,35,5,2,3,0,295,412,39,15,12.5,0,25,13,17,672,46,16,354,479,2022-2023
156,Samuel Edozie,17,0,0,0,0,111,164,8,3,16.5,0,17,8,7,278,37,12,183,188,2022-2023
157,Anthony Elanga,16,0,1,0,0,95,130,10,4,13.8,0,3,2,4,197,15,5,109,139,2022-2023
158,Harvey Elliott,32,1,2,2,0,809,1009,36,12,19.3,0,27,36,26,1194,42,19,759,867,2022-2023
159,Mohamed Elneny,5,0,0,0,0,57,60,0,0,,0,1,1,0,63,0,0,38,49,2022-2023
160,Mohamed Elyounoussi,33,1,1,4,0,426,633,36,10,15.8,0,46,43,40,952,47,24,484,533,2022-2023
161,Emerson,26,2,1,2,1,848,1060,17,6,16.6,0,54,40,17,1323,31,15,672,775,2022-2023
162,Christian Eriksen,28,1,8,3,0,1203,1485,39,11,19.3,4,22,32,23,1644,17,8,967,1220,2022-2023
163,Pervis Estupiñán,35,1,5,4,0,1576,1926,29,4,19.3,0,61,60,30,2211,42,19,1292,1434,2022-2023
164,Jonny Evans,13,0,0,1,0,690,789,1,1,3.8,0,13,11,15,906,0,0,529,629,2022-2023
165,Eberechi Eze,38,10,4,3,0,923,1178,70,25,21.9,14,42,38,22,1515,122,71,889,999,2022-2023
166,Łukasz Fabiański,36,0,0,1,0,598,930,0,0,,0,2,2,1,1005,0,0,506,350,2022-2023
167,Fabinho,36,0,2,11,0,1617,1832,18,4,22.0,0,65,62,38,2092,15,7,1184,1493,2022-2023
168,Wout Faes,31,1,2,6,1,1581,1846,13,3,11.8,0,56,44,53,2177,12,9,1262,1436,2022-2023
169,Felipe,16,0,1,4,0,411,568,13,1,9.0,0,42,41,34,798,18,14,391,386,2022-2023
170,João Félix,16,4,0,1,1,274,356,46,16,18.0,3,14,12,3,497,60,22,326,399,2022-2023
171,Evan Ferguson,19,6,2,1,0,180,225,36,17,15.2,0,6,7,11,344,14,8,203,256,2022-2023
172,Bruno Fernandes,37,8,8,6,0,1498,2030,90,32,20.8,6,68,71,37,2408,66,32,1385,1689,2022-2023
173,Enzo Fernández,18,0,2,3,0,1269,1440,20,3,25.7,2,45,56,32,1616,32,17,1097,1257,2022-2023
174,Roberto Firmino,25,11,4,0,0,444,566,39,25,12.3,0,17,21,16,735,24,13,423,565,2022-2023
175,Junior Firpo,19,1,1,6,1,454,621,2,1,12.2,0,47,46,23,792,15,6,352,367,2022-2023
176,Phil Foden,32,11,6,1,0,904,1111,46,22,15.3,1,16,19,25,1324,81,40,891,1051,2022-2023
177,Wesley Fofana,2,0,0,1,0,117,140,2,1,10.1,0,4,3,1,169,3,2,116,115,2022-2023
178,Wesley Fofana,15,1,0,3,0,779,872,6,2,11.4,0,30,26,17,1013,13,8,686,735,2022-2023
179,Pablo Fornals,32,3,1,0,0,557,771,27,7,22.6,0,30,34,16,917,21,10,501,616,2022-2023
180,Adam Forshaw,12,0,0,0,0,196,244,1,0,26.4,0,12,17,9,293,11,8,179,186,2022-2023
181,Fraser Forster,14,0,0,1,0,266,363,0,0,,0,1,0,1,395,0,0,203,148,2022-2023
182,Tyrese Francois,1,0,0,0,0,2,2,0,0,,0,0,0,0,5,0,0,1,2,2022-2023
183,Ryan Fraser,8,0,0,1,0,85,122,6,1,16.6,0,2,5,3,147,2,1,94,107,2022-2023
184,Fred,35,2,2,6,0,618,781,26,5,19.5,0,47,38,38,999,32,12,537,614,2022-2023
185,Ryan Fredericks,12,0,0,1,0,149,220,0,0,,0,3,4,7,279,10,3,120,152,2022-2023
186,Remo Freuler,28,0,0,4,0,664,836,8,1,20.0,0,43,43,36,1058,12,6,491,557,2022-2023
187,Cody Gakpo,21,7,2,0,0,293,392,39,12,14.8,0,26,38,13,591,48,23,374,448,2022-2023
188,Conor Gallagher,35,3,1,11,1,706,871,28,11,17.9,0,46,37,41,1134,54,23,699,778,2022-2023
189,Idrissa Gana Gueye,33,0,1,7,0,1025,1226,15,6,25.1,1,97,60,50,1563,35,19,821,845,2022-2023
190,Alejandro Garnacho,19,3,2,3,0,150,187,24,9,16.3,0,5,11,5,305,44,12,220,235,2022-2023
191,James Garner,16,0,1,3,0,256,353,9,3,22.3,1,16,19,9,441,14,7,216,225,2022-2023
192,David de Gea,38,0,0,0,0,866,1218,0,0,,0,0,1,0,1302,0,0,781,783,2022-2023
193,Joe Gelhardt,15,0,2,1,0,43,67,10,2,23.5,1,6,5,5,115,9,1,68,84,2022-2023
194,Saman Ghoddos,15,0,0,0,0,59,79,1,1,19.2,0,2,3,5,98,2,0,42,44,2022-2023
195,Morgan Gibbs-White,2,0,0,1,0,75,95,3,1,11.5,0,3,3,2,119,8,2,62,82,2022-2023
196,Morgan Gibbs-White,35,5,8,5,0,659,1078,57,19,20.0,3,26,32,23,1447,96,47,764,902,2022-2023
197,Bryan Gil,4,0,1,1,0,47,60,2,1,19.4,0,3,3,3,80,5,2,55,61,2022-2023
198,Billy Gilmour,14,0,1,1,0,364,408,6,1,20.1,0,5,8,5,453,6,2,248,350,2022-2023
199,Degnand Gnonto,24,2,4,7,0,370,512,22,8,17.4,0,27,30,24,719,77,21,484,508,2022-2023
200,Ben Godfrey,13,0,1,2,0,182,281,6,0,13.1,0,20,29,12,391,8,3,162,159,2022-2023
201,João Gomes,11,1,0,5,0,250,322,4,2,20.7,0,29,23,12,409,19,8,185,223,2022-2023
202,Toti Gomes,17,1,0,6,0,460,555,5,2,9.9,0,15,13,16,688,16,9,332,402,2022-2023
203,Joe Gomez,21,0,0,3,0,1166,1361,6,2,24.5,0,28,19,17,1521,5,4,1005,1040,2022-2023
204,Sergio Gómez,12,0,1,0,0,279,317,7,0,22.1,0,9,8,5,358,3,0,203,274,2022-2023
205,Anthony Gordon,16,1,0,1,0,162,198,8,2,14.0,0,14,20,9,275,21,7,169,196,2022-2023
206,Anthony Gordon,16,3,0,6,0,193,280,26,16,16.6,1,34,23,19,464,45,11,252,290,2022-2023
207,Demarai Gray,33,4,1,3,0,579,838,57,22,19.5,8,33,31,23,1181,92,33,720,781,2022-2023
208,Jack Grealish,28,5,7,4,0,902,1072,41,15,15.4,0,25,22,17,1308,110,45,957,1065,2022-2023
209,Sam Greenwood,18,1,2,1,0,107,186,12,2,24.2,5,15,21,10,255,8,3,117,119,2022-2023
210,Pascal Groß,37,9,8,6,0,1879,2347,39,19,17.4,1,59,55,32,2602,33,17,1453,1832,2022-2023
211,Vicente Guaita,27,0,0,1,0,610,845,0,0,,0,0,0,0,895,0,0,507,383,2022-2023
212,Gonçalo Guedes,13,1,1,1,0,138,201,19,6,18.4,1,8,8,4,280,15,5,174,199,2022-2023
213,Marc Guéhi,37,1,0,8,0,1883,2208,14,6,8.3,0,52,42,45,2557,21,14,1511,1690,2022-2023
214,Bruno Guimarães,32,4,5,7,0,1387,1668,28,8,19.7,0,78,65,28,2014,92,45,1321,1503,2022-2023
215,İlkay Gündoğan,31,8,4,0,0,1374,1578,53,20,18.1,5,30,33,18,1806,42,16,1072,1425,2022-2023
216,Darko Gyabi,1,0,0,0,0,4,4,1,0,17.8,0,2,0,2,8,1,0,4,2,2022-2023
217,Erling Haaland,35,36,8,5,0,360,500,116,53,12.6,0,3,5,12,763,32,11,405,583,2022-2023
218,Lewis Hall,9,0,0,1,0,344,428,11,5,15.0,0,23,22,8,534,25,9,320,352,2022-2023
219,Luke Harris,3,0,0,0,0,13,14,0,0,,0,0,0,0,14,0,0,9,13,2022-2023
220,Jack Harrison,36,5,7,2,0,732,1150,39,14,17.8,3,41,52,47,1556,118,48,959,1037,2022-2023
221,Kai Havertz,35,7,1,5,0,727,894,70,31,12.7,1,34,30,28,1258,60,17,728,946,2022-2023
222,Jan Paul van Hecke,8,0,0,2,0,232,248,2,0,16.3,0,8,5,8,288,0,0,187,213,2022-2023
223,Hwang Hee-chan,27,3,1,1,0,214,280,18,7,15.0,0,20,19,18,425,32,13,222,267,2022-2023
224,Dean Henderson,18,0,0,2,0,425,671,0,0,,0,0,0,0,715,0,0,397,319,2022-2023
225,Jordan Henderson,35,0,2,2,0,1341,1615,23,5,22.8,0,32,36,21,1782,23,12,1060,1319,2022-2023
226,Wayne Hennessey,4,0,0,0,0,61,99,0,0,,0,1,1,0,108,0,0,56,47,2022-2023
227,Rico Henry,37,0,2,4,0,876,1203,22,4,20.0,0,57,41,29,1582,50,26,782,813,2022-2023
228,Son Heung-min,36,10,6,2,0,680,909,81,38,18.3,5,24,30,23,1217,83,33,727,860,2022-2023
229,Aaron Hickey,26,0,1,7,0,695,838,11,2,21.5,0,38,32,18,1028,45,17,616,624,2022-2023
230,Jack Hinshelwood,1,0,0,0,0,1,3,0,0,,0,1,0,0,5,0,0,2,3,2022-2023
231,Joseph Hodge,6,0,0,1,0,80,100,2,0,11.2,0,5,4,5,118,0,0,56,77,2022-2023
232,Rob Holding,14,1,0,0,0,382,442,5,2,12.8,0,8,6,6,499,1,1,319,339,2022-2023
233,Mason Holgate,8,0,0,3,1,143,217,4,0,11.5,0,11,11,7,286,3,3,100,141,2022-2023
234,Will Hughes,27,1,1,4,0,296,373,6,4,17.2,0,29,20,16,474,7,3,234,262,2022-2023
235,Omari Hutchinson,1,0,0,0,0,8,12,0,0,,0,0,0,0,15,0,0,11,11,2022-2023
236,Pierre Højbjerg,35,4,5,5,0,2021,2292,33,9,21.2,0,56,67,46,2633,45,30,1507,1925,2022-2023
237,Kelechi Iheanacho,28,5,5,0,0,236,316,38,13,17.1,0,7,10,9,464,39,20,293,380,2022-2023
238,Danny Ings,17,2,2,1,0,92,148,15,4,11.2,0,9,14,8,229,18,5,129,157,2022-2023
239,Danny Ings,18,6,0,3,0,114,162,25,12,15.5,0,10,6,12,267,16,10,163,186,2022-2023
240,Alexander Isak,22,10,1,3,0,279,368,49,23,15.0,0,18,28,21,583,72,32,371,431,2022-2023
