,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
508,Kenny Tete,31,1,5,8,0,1110,1530,13,5,18.9,0,83,50,48,1896,37,21,821,946,2022-2023
509,Luke Thomas,17,0,0,3,0,521,654,3,0,16.6,0,23,32,20,786,12,6,355,414,2022-2023
510,Youri Tielemans,31,3,2,4,0,1303,1623,29,8,27.7,1,66,61,35,1877,35,26,952,1309,2022-2023
511,Kieran Tierney,27,0,1,0,0,362,486,7,2,23.1,0,20,16,8,579,12,3,316,338,2022-2023
512,Harry Toffolo,19,0,0,2,0,242,387,6,2,17.6,0,17,14,16,498,9,3,191,223,2022-2023
513,Takehiro Tomiyasu,21,0,1,2,0,384,474,3,0,12.1,0,27,18,7,557,4,1,311,344,2022-2023
514,James Tomkins,6,1,0,3,1,138,171,3,2,12.7,0,4,3,3,208,1,1,117,130,2022-2023
515,Ivan Toney,33,20,4,9,0,468,787,87,33,16.5,9,23,23,24,1219,54,16,625,889,2022-2023
516,Adama Traoré,34,2,1,2,0,325,494,19,7,15.0,0,14,9,8,714,104,49,461,555,2022-2023
517,Bertrand Traoré,8,2,0,1,0,59,75,9,3,16.4,0,1,4,5,114,4,1,81,89,2022-2023
518,Boubacar Traoré,10,0,1,2,0,118,149,3,0,29.3,0,12,7,4,185,9,4,90,104,2022-2023
519,Mark Travers,12,0,0,0,0,281,368,0,0,,0,0,0,1,402,0,0,182,145,2022-2023
520,Kieran Trippier,38,1,7,5,0,1995,2788,14,4,27.1,12,71,90,45,3102,35,19,1300,1593,2022-2023
521,Leandro Trossard,20,1,10,0,0,347,452,17,5,17.5,0,12,18,18,567,26,15,374,417,2022-2023
522,Leandro Trossard,16,7,2,1,0,379,529,38,17,15.0,0,10,8,17,697,40,14,429,531,2022-2023
523,Kostas Tsimikas,20,0,4,3,0,474,618,7,2,15.5,0,14,16,8,713,15,4,355,409,2022-2023
524,Deniz Undav,22,5,0,2,0,122,164,27,12,13.8,0,7,8,4,231,6,4,120,179,2022-2023
525,Yan Valery,1,0,0,0,0,15,23,0,0,,0,0,0,1,28,0,0,17,20,2022-2023
526,Virgil van Dijk,32,3,1,3,0,2345,2592,30,9,12.8,0,27,19,24,2876,1,1,1760,2085,2022-2023
527,Raphaël Varane,24,0,0,1,0,954,1106,8,4,11.6,0,24,17,24,1293,10,6,797,850,2022-2023
528,Jamie Vardy,37,3,4,1,0,137,263,27,13,12.3,0,10,7,17,438,29,12,192,261,2022-2023
529,Joël Veltman,31,1,1,6,0,1261,1512,15,5,16.3,0,62,57,27,1740,20,5,952,1065,2022-2023
530,Fabio Vieira,22,1,2,0,0,234,290,15,2,20.1,0,6,5,5,356,18,6,215,255,2022-2023
531,Matías Viña,12,2,0,1,0,140,185,9,6,18.6,0,19,30,13,289,24,10,122,136,2022-2023
532,Rúben Vinagre,2,0,0,0,0,15,24,0,0,,0,2,2,0,31,3,1,15,17,2022-2023
533,Carlos Vinícius,28,5,2,3,0,119,189,21,12,11.9,0,4,4,7,329,15,5,182,248,2022-2023
534,Theo Walcott,20,2,2,1,0,180,262,20,7,16.9,0,13,27,8,384,24,12,224,256,2022-2023
535,Kyle Walker,27,0,0,3,0,1661,1892,5,1,24.8,0,13,24,12,1996,19,13,1189,1542,2022-2023
536,Kyle Walker-Peters,31,1,0,4,0,1019,1324,13,5,18.1,0,61,42,47,1692,103,49,877,917,2022-2023
537,Aaron Wan-Bissaka,19,0,0,2,0,706,840,10,2,14.7,0,40,25,24,1026,35,17,524,600,2022-2023
538,Danny Ward,26,0,0,0,0,708,945,0,0,,0,1,3,0,1000,0,0,559,482,2022-2023
539,Joel Ward,28,1,0,6,0,921,1223,8,2,16.5,0,50,41,32,1469,9,7,620,761,2022-2023
540,James Ward-Prowse,38,9,4,6,0,1716,2176,40,16,27.1,17,65,61,30,2484,20,7,1172,1462,2022-2023
541,Ollie Watkins,37,15,6,4,0,391,566,84,45,12.6,0,19,27,21,927,65,18,475,684,2022-2023
542,Adam Webster,27,0,0,2,0,1514,1715,18,2,11.2,0,22,19,30,1888,8,3,1228,1369,2022-2023
543,Wout Weghorst,17,0,1,1,0,151,207,14,5,12.5,0,11,9,7,291,12,4,161,206,2022-2023
544,Danny Welbeck,31,6,3,0,0,373,442,62,22,14.1,1,15,11,24,693,45,22,407,519,2022-2023
545,Ben White,38,2,5,5,0,1888,2242,10,2,16.7,0,60,70,47,2532,29,8,1448,1698,2022-2023
546,Harvey White,1,0,0,0,0,3,8,0,0,,0,0,1,0,8,0,0,5,5,2022-2023
547,Joseph Whitworth,2,0,0,0,0,61,83,0,0,,0,0,0,0,87,0,0,52,50,2022-2023
548,Neco Williams,31,1,0,7,0,533,840,25,7,21.2,2,72,71,33,1153,55,19,555,532,2022-2023
549,Willian,27,5,5,2,0,712,912,41,17,18.8,3,13,25,13,1121,71,37,749,831,2022-2023
550,Joe Willock,35,3,6,1,0,777,951,58,16,16.9,0,51,58,54,1324,93,37,784,896,2022-2023
551,Callum Wilson,31,18,5,4,0,160,242,70,31,12.4,0,9,3,8,482,36,12,303,360,2022-2023
552,Harry Wilson,29,2,3,1,0,310,404,18,4,16.0,1,21,18,17,551,33,12,343,397,2022-2023
553,Yoane Wissa,38,7,3,3,0,238,344,32,15,14.1,0,17,13,10,517,44,20,312,345,2022-2023
554,Maximilian Wöber,16,0,0,3,0,483,684,9,2,13.3,1,25,24,32,858,1,0,426,438,2022-2023
555,Chris Wood,18,2,0,0,0,66,106,8,3,14.7,0,5,5,2,149,2,1,52,101,2022-2023
556,Chris Wood,7,1,0,0,0,43,71,3,1,8.2,0,0,1,2,99,2,0,50,79,2022-2023
557,Joe Worrall,30,1,0,6,0,891,1157,7,2,12.2,0,53,35,33,1408,4,3,684,796,2022-2023
558,Granit Xhaka,37,7,7,4,0,1382,1632,40,14,16.6,3,34,41,28,1891,28,15,1112,1397,2022-2023
559,Ryan Yates,26,0,2,5,0,455,592,26,5,16.8,0,38,22,26,790,9,4,303,384,2022-2023
560,Ashley Young,29,1,0,7,0,897,1188,15,3,25.1,0,50,49,25,1411,22,8,701,767,2022-2023
561,Illia Zabarnyi,5,0,0,0,0,184,200,0,0,,0,4,7,7,234,2,1,166,174,2022-2023
562,Wilfried Zaha,27,7,2,5,0,502,650,64,21,16.8,0,32,21,21,1040,137,55,729,821,2022-2023
563,Denis Zakaria,7,0,0,0,0,158,179,2,0,16.9,0,9,8,4,218,8,5,140,159,2022-2023
564,Jordan Zemura,19,0,1,1,0,423,594,4,0,12.9,0,39,43,31,808,40,18,375,409,2022-2023
565,Oleksandr Zinchenko,27,1,2,3,0,1652,1911,28,7,22.7,0,40,39,20,2112,25,15,1263,1398,2022-2023
566,Hakim Ziyech,18,0,3,1,0,258,400,16,3,22.7,0,20,9,8,505,33,14,303,354,2022-2023
567,Kurt Zouma,25,2,0,0,0,701,831,19,5,10.1,0,9,8,17,1050,5,2,523,621,2022-2023
568,Martin Ødegaard,37,15,7,4,0,1449,1804,93,31,19.2,9,36,47,20,2100,83,48,1284,1550,2022-2023
